KcatID,Kmax
PACOAT,9.431960052609888
Zn2tex,65.0
GUI1,5.95572870045351
DXYLK,7.9869014535287794
FE3DCITtonex,65.0
METSOXR1,32.0146989593031
FACOAL180t2pp,7.91377087589054
CBL1tonex,65.0
LIPOtex,65.0
NTD11,6.85848692170799
GLUNpp,5.07144077841572
ORNDC,36.1806204157884
UAGCVT,3.2999999999999994
ALAGLUE,6.70053017457135
I2FE2ST,3.3243258354469103
BMOCOS,0.02
6D6SPA,41.469124247573
GLCURt2rpp,65.0
PGSA141,11.323300825672797
GMPS2,5.0
RNDR2b,8.61983957121507
NMNPtpp,65.0
ACGK,8.399999999999999
MCITD,22.6714957215784
LPLIPAL1A181pp,16.3194538084558
MLDCP3App,2.79595711420478
AMPN,10.9966267301907
NO2tex,65.0
LPLIPAL2G160,70.9551139784491
FRULYSE,8.264880934679088
Ftpp,65.0
BWCOGDS2,9.78017358694592
CITt7pp,65.0
PSURIK,7.845622470215899
DTARTD,7.17026079129293
MN2t3pp,65.0
ASPO4,1.9218490872305498
MLTG3,0.44573054611266694
LALADGLUtex,65.0
RMPA,8.28835858207763
FE2abcpp,65.0
HDCAtexi,65.0
ACOAD2f,141.171248093136
CRNDtex,65.0
Kt2pp,65.0
ACP1_FMN,8.7518300449315
CO2tex,65.0
NTD10pp,15.8060012194203
FRUURt2rpp,65.0
QMO2,3.2837995389091197
PAPSR,100.558809027635
HKNDDH,37.7623836733976
PTRCt2pp,65.0
ASPt2_3pp,65.0
O16A4Lpp,17.6458325266833
MALTHXabcpp,65.0
UPP3MT,0.11226452671157398
GPDDA5,14.437056375210902
CYSItpp,65.0
UPLA4FNF,27.9908309721225
SBTPD,5.84761566870932
AACPS5,2.06191272909666
URDGLYCD,4.858579972012959
LPLIPAL2ATE140,60.9399212836141
3HAD161,4.39387451614104
PLIPA2E140pp,10.753799669469098
NADS1,0.12216713810543899
DGSNt2pp,65.0
NI2tpp,65.0
TYRL,0.014336940630828502
DHCINDO,18.753382319600096
CS1tex,65.0
KDOPP,18.724898685049695
ETHAAL,71.1055373608447
AKGtex,65.0
VALabcpp,65.0
PGL,588.7476298751429
FE2tex,65.0
QUIN2tex,65.0
CD2abcpp,65.0
GUAtpp,65.0
ACLS,99.63539488839909
G3PCtex,65.0
PERD,0.02
MNLptspp,65.0
DHPStr,65.0
PLIPA1A141pp,19.2183185651919
SELtex,65.0
G3PStex,65.0
COLIPAabctex,65.0
DXYLONtex,65.0
LEUtex,65.0
PSCLYStex,65.0
FUMtex,65.0
SQtr,65.0
GLYCDx,9.07436584506882
GAPD,35.76496142464949
PROt2rpp,65.0
HEXt2rpp,65.0
3OAR120,4.480060846232301
ARGtex,65.0
GLYK,1.42274572189134
TDPDRR,1.2260316551690198
FBA3,29.271148380040703
AB6PGH,10.341849774767
GLBRAN2,8.6979639005214
TTRCYCtpp,65.0
TARTD,22.0816112336816
SOTA,7.910675684923599
GLCP,8.419168984965149
EDTXS3,6.31794152342441
O16GLCT1,6.19703519832067
DURIPP,4.88887249825539
MALTTTRtexi,65.0
DUMPtex,65.0
METDtex,65.0
3HAD181,4.39387451614104
QUINDHyi,8.31138565047014
NNAM,9.78994837774661
G3PAT161,37.4175053228345
FA141ACPHi,32.2022536372637
FE2t3pp,65.0
RNTR3c2,8.28107699735692
ACPPAT181,6.19497135686288
CU1Opp,22.997061299706395
MLDCP2Bpp,9.43165489858234
3PEPTabcpp,6.16253252869977
AGPAT180,42.51616158048619
LPLIPAL1E140pp,16.3194538084558
NDPK2,38.6801727600959
PACALDtex,65.0
3NTD4pp,21.9537427390778
CFAS180E,8.42750201034672
TREptspp,65.0
PAPA120pp,16.9676597109052
ACCOAC,13.5464745532275
MALTPTtexi,65.0
ZN2tpp,65.0
ACPPAT141,36.924305260043
SPMS,0.9938110312484552
CTBTCAL2,7.844944816627411
UDPG4E,53.1524935888073
LPLIPAL2G181,70.9551139784491
PPTHpp,19.440284535597
PLIPA1A120pp,19.2183185651919
PIt2rpp,65.0
23CUMPtex,65.0
XMPtex,65.0
MN2tipp,65.0
SSALx,1.85198942878732
FACOAL120t2pp,7.91377087589054
HMPK1,9.00256637955014
ALR4x,5.94746483433418
HACD2,57.8983630936063
MALDt2_2pp,65.0
THRD_L,72.4442343685591
PRAGSr,20.0
MAN6PI,10.195774613655297
ADEtex,65.0
CGLYabcpp,65.0
NOVBCNtpp,65.0
PSSA140,11.1279549747511
NAt3pp,65.0
PGSA181,5.07458857570637
PYDAMtex,65.0
XAND,8.44448432836534
MANPGH,12.645109102291899
FDMO3,6.29087964911215
CA2tex,65.0
SLNTtex,65.0
NADDP,4.93456729372366
RMK,6.32150383138407
ASNN,7.54961253966413
CD2t3pp,65.0
LCTStpp,65.0
TYRtex,65.0
GNK,117.57099099523498
RPE,491.55024373770004
PAPA160,16.9676597109052
MLDEP1pp,4.41185684255258
MALTPTabcpp,65.0
LPLIPAL2ATE141,60.9399212836141
FRULYStex,65.0
FHL,6.7523723830486
CYSItex,65.0
SSALy,32.02801099106689
ICHORS_copy2,6.32674528403374
CU2abcpp,65.0
THMDt2pp_copy1,65.0
LALALGLUtpp,65.0
I2FE2SS2,3.3016595624170404
G3PEtex,65.0
PAPA180,16.9676597109052
TRPtex,65.0
GPDDA1,14.437056375210902
CELBpts,65.0
PROt4pp,65.0
MALTTTRabcpp,65.0
GALabcpp,65.0
XYLI2,6.50195825224657
G3PD6,39.149077156915
IG3PS,14.0623086215301
RMI,5.35167572464651
ADK3,14.7767439401705
ALLtex,65.0
O2tex,65.0
DHBS,0.509427511775445
ACOAD6f,177.843931399064
PPNDH,17.8653110991477
PLIPA2E160pp,10.753799669469098
LPLIPAL2ATE181,60.9399212836141
Htex,65.0
3AMACHYD,41.6517242342344
APG3PAT180,9.87477281963863
ALLTN,9.84431651530832
URACPAH,11.3033957407599
GALCTD,7.73272914476094
SERASr,0.209117787538849
ECAP3pp,6.348286728058569
LPLIPAL1A120pp,16.3194538084558
GLUabcpp,65.0
GGGABADr,5.51442024445757
PSD180,5.7453453097053195
OPMEACPD,9.099999999999999e-5
CYSabc2pp,65.0
SUCptspp,65.0
GSNt3pp,65.0
GSPMDS,10.5134422900573
2AGPEAT140,4.27830584222986
LYSAM,6.60197172550686
DHCIND,5.16779470190159
MALTtexi,65.0
23PDE7pp,24.941242120575396
OMPDC,58.9910628293098
PG140abcpp,65.0
DAGK180,6.373401439403609
CCGS,5.9705365709450895
CUtex,65.0
ADNt2pp_copy1,65.0
GLCURtex,65.0
DHNCOAT,0.6832010389135559
GAMtex,65.0
NNDPR,0.45999999999999996
EAR80y,4.03455769786865
PLIPA1E141pp,10.753799669469098
EDTXS1,6.82122326168105
PLIPA1A161pp,10.753799669469098
ADNK1,0.007999999999999998
3HAD120,4.39387451614104
LPLIPAL2G180,70.9551139784491
DHPS2,0.371229170487303
HPPPNt2rpp,65.0
FUM,438.012822340482
HEPT4,6.874304391240859
PPCSCT,13.3447540146703
ECAP1pp,9.663404351850858
UGLCURPpp,4.29065074800568
FE3DHBZStonex,65.0
EAR181x,0.507402231738151
FEROpp,3.28395809606657
GUI2,5.95572870045351
FCLK,6.55692163777932
CGLYtex,65.0
3HAD180,4.39387451614104
RNTR4c2,3.29516313117813
TTRCYCtex,65.0
GLYCLTt2rpp,65.0
PDH,147.301927177988
LIPATPT,11.7706732280931
IDOND2,26.4845496436311
ARGt3pp,65.0
GLCTR3,10.855771946788698
PUNP5,3.6121824523029193
EAR121x,1.49190406602306
CS,31.491343376779795
ALR2,7.2183724561403295
GLCUR1Ptex,65.0
FACOAE180,13.678526406088
ACOAD3f,177.065139062978
APCS,4.26710833801534
DAGK160,6.373401439403609
GALCTLO,5.64694381091642
CHOLD,5.36360113159844
NADH16pp,699.450754301741
HOMt2pp,65.0
3HAD60,4.7238623506414
TMAOtex,65.0
PSSA141,11.1279549747511
OGMEACPS,9.57e-5
PPCDC,0.15
G3PAT120,34.7185511909517
ACt4pp,65.0
FDMO6,6.29087964911215
RHAT1,19.0103517848249
PRAIi,5.0
ATHRDHr,5.93571799059276
PYROX,7.4070188661487295
MEPCT,13.969472645913099
3OAR181,1.27988953981167
PYK6,3.28311771871243
METAT,0.0542946360539788
DHMPTR,5.56551811436266
DHORD5,0.00407857264841925
MNNH,33.7198546749132
NADPHQR2,18.156100642238297
GLCptspp,65.0
GALKr,86.88663560405269
GLUDC,80.4671796115922
ARGabcpp,65.0
G3PCabcpp,65.0
PGP180abcpp,65.0
TARTRDtex,65.0
APPLDHr,5.94746483433418
CYSTA,7.05493128586977
APG3PAT141,9.87477281963863
ADCS,1.82257631235063
XYLK2,8.49633380346128
GALCTNtex,65.0
GART,0.12
PPK,6.23665409241565
TSULtex,65.0
XANt2pp,65.0
PPGPPDP,8.6990148311021
AGM4PCPpp,12.2100308227317
D_LACt2pp,65.0
PYDXPP,7.393496070591529
PGPP140,33.3731597285484
PE140abcpp,65.0
MG2tex,65.0
AGPAT141,42.51616158048619
3HPPtex,65.0
HEPT2,4.95176257517003
ILEt3pp,65.0
MOBDabcpp,65.0
FADt,65.0
NADPHXD,5.54421888697013
CLBtex,65.0
THYMtex,65.0
MALTATr,7.45089023981007
BUTSO3abcpp,65.0
RMNtex,65.0
MPTG2,0.474918771833212
2AGPG120tipp,65.0
LPLIPAL2ATG120,60.9399212836141
OMBZLM,0.0133419286015386
GLYtpp,65.0
EDA,2155.66943545417
PTRCTA,8.49287900299281
UDPGD,8.356890087330738
ARBt3ipp,65.0
GLYtex,65.0
ME1,135.338619967144
BSORy,8.17787745477089
SKMtex,65.0
PRAIS,14.5830301099742
HISt2rpp,65.0
LPLIPAL1G160pp,16.3194538084558
UREAtex,65.0
AGPAT160,136.0
LIPOCT,0.00257808962634552
